"","symbol","EntrezGene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000019969","Psen1","19164",13860.941741946,1.90739726898094,0.043268537331317,44.0827766923473,0,0
"ENSMUSG00000030579","Tyrobp","22177",2367.09583265405,2.61215217110535,0.0749325463687948,34.8600481057877,2.99877474402234e-266,3.60827571074488e-262
"ENSMUSG00000046805","Mpeg1","17476",7073.29607759674,2.12246734630967,0.0635034592141138,33.4228618814823,6.38259601187948e-245,5.11990576752932e-241
"ENSMUSG00000032011","Thy1","21838",80423.4759261428,1.36195297097854,0.0424006477131452,32.121041645227,2.24185417315552e-226,1.34875551692469e-222
"ENSMUSG00000022892","App","11820",271265.837776675,1.36140476348129,0.0434167255950691,31.3566890368145,7.88666199077161e-216,3.79585041615838e-212
"ENSMUSG00000038642","Ctss","13040",10323.9693214518,1.69717182740519,0.0549488199797292,30.886410809755,1.81837801552511e-209,7.29321115726863e-206
"ENSMUSG00000023992","Trem2","83433",2333.22717960363,2.62289850873782,0.0882818243351,29.7105154825734,5.61656827488087e-194,1.9308959362144e-190
"ENSMUSG00000079293","Clec7a","56644",761.313352554905,5.1251375170363,0.173838246225465,29.482220560308,4.86643796796945e-191,1.46388537123981e-187
"ENSMUSG00000040552","C3ar1","12267",617.149238180395,2.22726351597572,0.0781799483706742,28.4889356208782,1.60622173845152e-178,4.29485845953732e-175
"ENSMUSG00000069516","Lyz2","17105",2604.92613218223,2.34470557108306,0.0847390087801964,27.6697309165483,1.61584622993902e-168,3.88853395234826e-165
"ENSMUSG00000036896","C1qc","12262",5323.30173758528,1.72355473720461,0.0670029049046523,25.7235822783698,6.36857572646528e-146,1.3932706805217e-142
"ENSMUSG00000015852","Fcrl2","80891",2769.17666218774,1.72098037711172,0.0671472901369237,25.629930464839,7.07878244118542e-145,1.41959082872606e-141
"ENSMUSG00000030789","Itgax","16411",1254.31601956732,5.87680688823315,0.229917579971219,25.5604938472683,4.19740485947014e-144,7.77004214947299e-141
"ENSMUSG00000028581","Laptm5","16792",5018.09928304368,1.59003007043777,0.0662529188536854,23.9993965239362,2.82142277997694e-127,4.84982422858179e-124
"ENSMUSG00000021665","Hexb","15212",10199.9266606689,1.38784999868004,0.0579242961869109,23.9597213956938,7.31759850552682e-127,1.17398672023669e-123
"ENSMUSG00000073418","C4b","12268",16178.9498813111,2.2881177261134,0.0957857814857569,23.8878640506121,4.09509750560687e-126,6.15928259202683e-123
"ENSMUSG00000020120","Plek","56193",2659.09320751829,1.52312956089363,0.0637790893580862,23.8813312674011,4.78791957511161e-126,6.7777226220624e-123
"ENSMUSG00000021423","Ly86","17084",1280.33471702961,1.97822150159624,0.0829789698595221,23.8400344683146,1.28480305730051e-125,1.71771030966315e-122
"ENSMUSG00000059498","Fcgr3","14131",1421.811738527,1.48705703656399,0.0636773779416238,23.3529878998354,1.28511425733849e-120,1.62769866330794e-117
"ENSMUSG00000028859","Csf3r","12986",1410.53212169365,1.66945109272926,0.0715807812236203,23.3226162692169,2.61418240216562e-120,3.14551497540578e-117
"ENSMUSG00000036905","C1qb","12260",4583.04757249605,1.59408640967059,0.0683598513665354,23.3190444069771,2.84170092103077e-120,3.25645393640979e-117
"ENSMUSG00000022488","Nckap1l","105855",1785.86909312051,1.13957517939351,0.0489940154778449,23.2594770663128,1.14070375038222e-119,1.24777435240673e-116
"ENSMUSG00000068129","Cst7","13011",1734.76820653019,7.68631176057521,0.331287109910204,23.2013607853882,4.41145027280544e-119,4.61571960065491e-116
"ENSMUSG00000026395","Ptprc","19264",974.287957425938,1.74453343951281,0.075748795691142,23.0305105658177,2.3065655293971e-117,2.31281247770588e-114
"ENSMUSG00000026177","Slc11a1","18173",679.567238124727,2.05597258044873,0.089425433661237,22.9909154059817,5.74647590944286e-117,5.53155771042969e-114
"ENSMUSG00000026656","Fcgr2b","14130",1006.86533846491,2.3323837477521,0.102256414411496,22.8091681208988,3.71858648731093e-115,3.44183783912068e-112
"ENSMUSG00000007891","Ctsd","13033",25607.2905837415,1.46918100579357,0.0645948666683685,22.7445473854196,1.62489324330922e-114,1.44826132963838e-111
"ENSMUSG00000044468","Tent5c","74645",1052.7874500218,2.05362692068271,0.0927514840307632,22.1411758759739,1.26883038053736e-108,1.09051439670113e-105
"ENSMUSG00000020932","Gfap","14580",52187.5800945587,2.14153744212438,0.0987357245625318,21.6895905875293,2.57266273156372e-104,2.13486650465796e-101
"ENSMUSG00000020101","Vsir","74048",3757.48629324967,1.11959045526049,0.0518607110321117,21.5884131354708,2.30802313199509e-103,1.85141922238206e-100
"ENSMUSG00000051439","Cd14","12475",420.576063318444,2.23516762025747,0.106498262740661,20.9878317517764,8.47233923729914e-98,6.57699495953561e-95
"ENSMUSG00000097415","AU020206","108167440",977.562181082977,1.90392052618729,0.0912302431755627,20.8694009783948,1.0159884161664e-96,7.64055038595135e-94
"ENSMUSG00000018774","Cd68","12514",1820.33263394818,2.48947869971705,0.120698756823262,20.6255537773464,1.61867076677451e-94,1.18040339401299e-91
"ENSMUSG00000041515","Irf8","15900",1037.62410491148,1.68991651787682,0.0834842460025353,20.2423403072419,4.14987951986426e-91,2.93726031310392e-88
"ENSMUSG00000021822","Plau","18792",475.735275722243,2.24587181904417,0.113066736303925,19.8632408828644,8.46667722646097e-88,5.82144535585095e-85
"ENSMUSG00000004707","Ly9","17085",201.719878824598,2.80118735888091,0.141774288216319,19.7580773927559,6.83593204172562e-87,4.56963068289242e-84
"ENSMUSG00000024737","Slc15a3","65221",410.304314291308,2.08108828310858,0.105733744708148,19.6823472851823,3.05519146862748e-86,1.98711304574379e-83
"ENSMUSG00000016256","Ctsz","64138",5061.15663839233,1.38569056653627,0.0707786555291887,19.5778028867025,2.39113945512666e-85,1.51428344704271e-82
"ENSMUSG00000000982","Ccl3","20302",176.362565714674,4.73334831168346,0.241885088308416,19.5685825231533,2.8654075967179e-85,1.76810343115427e-82
"ENSMUSG00000024621","Csf1r","12978",10790.0773604784,0.912824645730265,0.0467077949433171,19.5433042137407,4.70364498624333e-85,2.82983041484864e-82
"ENSMUSG00000036887","C1qa","12259",6435.68740687844,1.80471917988721,0.0930129387208888,19.4028831333108,7.29623905540726e-84,4.2825364114238e-81
"ENSMUSG00000024300","Myo1f","17916",649.316278104353,1.71511245431177,0.0902821110712495,18.9972568647428,1.7969402460685e-80,1.02960397670568e-77
"ENSMUSG00000025232","Hexa","15211",5187.41232079623,0.855884567973908,0.046111078722951,18.561365113931,6.60059171611223e-77,3.69402882902886e-74
"ENSMUSG00000000682","Cd52","23833",258.842220300132,2.56018500141851,0.138258660897684,18.5173571391171,1.49602873554458e-76,8.18225716383642e-74
"ENSMUSG00000034708","Grn","14824",6963.96926465532,0.964298567722675,0.0524621212479626,18.3808535526978,1.87002939429842e-75,1.00005016386203e-72
"ENSMUSG00000058715","Fcer1g","14127",862.45535808636,1.68476696720343,0.0935220454923599,18.0146505386376,1.49522241064593e-72,7.82228854612917e-70
"ENSMUSG00000040747","Cd53","12508",801.15443047328,1.4251314007682,0.0792281717993733,17.9876850418436,2.43311974081052e-72,1.24580907580011e-69
"ENSMUSG00000015568","Lpl","16956",2243.98429795896,1.14618106415872,0.063729756344494,17.9850219097495,2.55287832010191e-72,1.27989618277609e-69
"ENSMUSG00000038147","Cd84","12523",730.644328571904,1.86252995431058,0.104451170670828,17.8315852503008,4.01863382264139e-71,1.97364128452786e-68
"ENSMUSG00000027995","Tlr2","24088",386.874575636085,1.95555585473852,0.10986497591968,17.7996293938861,7.11380712587534e-71,3.4238753696838e-68
"ENSMUSG00000030342","Cd9","12527",4313.78086811406,1.12325293544773,0.0631449463067657,17.7884850830474,8.67948734442492e-71,4.09552672438403e-68
"ENSMUSG00000112148","Lilrb4a","14728",171.611593809762,3.48190809492094,0.196918763178576,17.6819518806512,5.77614370492771e-70,2.67313265882857e-67
